project_code,original_cost_cr,revised_cost_cr,expenditure_cr,cost_overrun_cr,cost_overrun_pct,delay_days,schedule_change_days,expenditure_change_cr_paimana,revision_cost_change_cr,original_cost,revised_cost,cumulative_expenditure,physical_progress_pct,expenditure_change_cr_flash,progress_change_pct,revised_cost_change_cr,previous_expenditure_cr,previous_progress_pct,flash_history_count,future_delay_flag,snapshot_year,snapshot_month_num,original_end_year,original_end_month,revised_end_year,revised_end_month,sector_freq,ministry_freq,state_freq,implementing_agency_freq
400010,480.0,640.0,456.22,160.0,33.33333333333333,1508.0,1508.0,21.430000000000007,0.0,480.0,640.0,456.22,71.0,21.430000000000007,0.0,0.0,434.79,71.0,3.0,0,2025.0,9.0,2021.0,9.0,2025.0,10.0,0.0244691869497669,0.0244691869497669,0.0025893319523562,0.0233039875712066
400010,480.0,640.0,471.59,160.0,33.33333333333333,1508.0,1508.0,15.369999999999948,0.0,480.0,640.0,471.59,77.0,15.369999999999948,6.0,0.0,456.22,71.0,4.0,1,2025.0,10.0,2021.0,9.0,2025.0,10.0,0.0244691869497669,0.0244691869497669,0.0025893319523562,0.0233039875712066
400010,480.0,640.0,483.12,160.0,33.33333333333333,1781.0,1781.0,11.53000000000003,0.0,480.0,640.0,483.12,78.0,11.53000000000003,1.0,0.0,471.59,77.0,5.0,0,2025.0,11.0,2021.0,9.0,2026.0,7.0,0.0244691869497669,0.0244691869497669,0.0025893319523562,0.0233039875712066
400010,480.0,640.0,484.6,160.0,33.33333333333333,1781.0,1781.0,1.4800000000000182,0.0,480.0,640.0,484.6,78.0,1.4800000000000182,0.0,0.0,483.12,78.0,6.0,0,2025.0,12.0,2021.0,9.0,2026.0,7.0,0.0244691869497669,0.0244691869497669,0.0025893319523562,0.0233039875712066
400010,480.0,640.0,492.21,160.0,33.33333333333333,1781.0,1781.0,7.609999999999957,0.0,480.0,640.0,492.21,78.0,7.609999999999957,0.0,0.0,484.6,78.0,7.0,0,2026.0,1.0,2021.0,9.0,2026.0,7.0,0.0244691869497669,0.0244691869497669,0.0025893319523562,0.0233039875712066
400010,480.0,640.0,492.25,160.0,33.33333333333333,1781.0,1781.0,0.0400000000000204,0.0,480.0,640.0,492.25,78.0,0.0400000000000204,0.0,0.0,492.21,78.0,8.0,0,2026.0,2.0,2021.0,9.0,2026.0,7.0,0.0244691869497669,0.0244691869497669,0.0025893319523562,0.0233039875712066
400010,480.0,640.0,501.81,160.0,33.33333333333333,1781.0,1781.0,9.560000000000002,0.0,480.0,640.0,501.81,78.7,9.560000000000002,0.7000000000000028,0.0,492.25,78.0,9.0,0,2026.0,3.0,2021.0,9.0,2026.0,7.0,0.0244691869497669,0.0244691869497669,0.0025893319523562,0.0233039875712066
400012,10088.0,0.0,7598.13,0.4000000000000909,0.0630372492836754,1462.0,1462.0,1.5600000000000025,0.0,10088.0,10088.0,7598.13,92.0,1.75,0.3499999999999943,0.0,381.695,73.0,1.0,0,2025.0,7.0,2021.0,12.0,2025.0,12.0,0.0189021232522009,0.1226048679440704,0.0011651993785603,0.0455722423614707
400012,10088.0,10088.0,7672.23,0.0,0.0,1462.0,1462.0,74.09999999999945,10088.0,10088.0,10088.0,7672.23,92.0,74.09999999999945,0.0,0.0,7598.13,92.0,2.0,0,2025.0,8.0,2021.0,12.0,2025.0,12.0,0.0189021232522009,0.1226048679440704,0.0011651993785603,0.0455722423614707
400012,10088.0,10088.0,7979.86,0.0,0.0,1462.0,1462.0,307.6300000000001,0.0,10088.0,10088.0,7979.86,93.0,307.6300000000001,1.0,0.0,7672.23,92.0,3.0,0,2025.0,9.0,2021.0,12.0,2025.0,12.0,0.0189021232522009,0.1226048679440704,0.0011651993785603,0.0455722423614707
400012,10088.0,10088.0,8059.53,0.0,0.0,1462.0,1462.0,79.67000000000007,0.0,10088.0,10088.0,8059.53,93.0,79.67000000000007,0.0,0.0,7979.86,93.0,4.0,0,2025.0,10.0,2021.0,12.0,2025.0,12.0,0.0189021232522009,0.1226048679440704,0.0011651993785603,0.0455722423614707
400012,10088.0,10088.0,8135.69,0.0,0.0,1462.0,1462.0,76.15999999999985,0.0,10088.0,10088.0,8135.69,93.0,76.15999999999985,0.0,0.0,8059.53,93.0,5.0,1,2025.0,11.0,2021.0,12.0,2025.0,12.0,0.0189021232522009,0.1226048679440704,0.0011651993785603,0.0455722423614707
400012,10088.0,10088.0,8217.69,0.0,0.0,1552.0,1552.0,82.00000000000091,0.0,10088.0,10088.0,8217.69,94.0,82.00000000000091,1.0,0.0,8135.69,93.0,6.0,0,2025.0,12.0,2021.0,12.0,2026.0,3.0,0.0189021232522009,0.1226048679440704,0.0011651993785603,0.0455722423614707
400012,10088.0,10088.0,8056.6,0.0,0.0,1552.0,1552.0,-161.09000000000017,0.0,10088.0,10088.0,8056.6,94.0,-161.09000000000017,0.0,0.0,8217.69,94.0,7.0,0,2026.0,1.0,2021.0,12.0,2026.0,3.0,0.0189021232522009,0.1226048679440704,0.0011651993785603,0.0455722423614707
400012,10088.0,10088.0,8130.19,0.0,0.0,1552.0,1552.0,73.58999999999924,0.0,10088.0,10088.0,8130.19,94.0,73.58999999999924,0.0,0.0,8056.6,94.0,8.0,1,2026.0,2.0,2021.0,12.0,2026.0,3.0,0.0189021232522009,0.1226048679440704,0.0011651993785603,0.0455722423614707
400012,10088.0,10088.0,8213.84,0.0,0.0,1643.0,1643.0,83.65000000000055,0.0,10088.0,10088.0,8213.84,94.9,83.65000000000055,0.9000000000000057,0.0,8130.19,94.0,9.0,0,2026.0,3.0,2021.0,12.0,2026.0,6.0,0.0189021232522009,0.1226048679440704,0.0011651993785603,0.0455722423614707
400013,26316.0,30620.0,9291.8,4304.0,16.355069159446725,649.0,649.0,1.5600000000000025,0.0,26316.0,30620.0,9291.8,72.0,1.75,0.3499999999999943,0.0,381.695,73.0,1.0,0,2025.0,7.0,2024.0,6.0,2026.0,3.0,0.016053858104609,0.016053858104609,0.0063438632832729,0.0093215950284826
400013,26316.0,30620.0,9791.8,4304.0,16.355069159446725,649.0,649.0,500.0,0.0,26316.0,30620.0,9791.8,73.0,500.0,1.0,0.0,9291.8,72.0,2.0,0,2025.0,8.0,2024.0,6.0,2026.0,3.0,0.016053858104609,0.016053858104609,0.0063438632832729,0.0093215950284826
